* 
	22	CHANNEL_GROUP	0	3,3	3,8	3,9	4	6	8,0	20	23	24
*	Indic	1s	MaxAPDU	ConnectionType	APDU	Protocol	Name	pCHANNEL	BackupMonDisable	pAORGroup	Type
	1	1	23	1	2	8	"AC_#1 - 3530_ChG"	1	1	1	5
	2	1	23	1	2	8	"AL_#1 - 3530_ChG"	2	1	1	5
	3	1	23	1	2	8	"AL_#2 - 3530_ChG"	3	1	1	5
	4	1	23	1	2	8	"WH_#1 - 3530_ChG"	4	1	1	5
	5	1	23	1	2	8	"FA_#1 - 3530_ChG"	5	1	1	5
	6	1	23	1	2	8	"HL_#1 - 3530_ChG"	6	1	1	5
	7	1	23	1	2	8	"HL_#2 - 3530_ChG"	7	1	1	5
	8	1	23	1	2	8	"PH_#1 - 3530_ChG"	8	1	1	5
	9	1	23	1	2	8	"BL_#1 - 3530_ChG"	9	1	1	5
	10	1	23	1	2	8	"WS_#1 - 3530_ChG"	10	1	1	5
	11	1	23	1	2	8	"CA_#1 - 3530_ChG"	11	1	1	5
	12	1	23	1	2	8	"BR_#1 - 3530_ChG"	12	1	1	5
	13	1	23	1	2	8	"WB_#1 - 3530_ChG"	13	1	1	5
	14	1	23	1	2	8	"WA_#1 - 3530_ChG"	14	1	1	5
	15	1	23	1	2	8	"FL_#1 - 3530_ChG"	15	1	1	5
	16	1	23	1	2	8	"FL_#2 - 3530_ChG"	16	1	1	5
	17	1	23	1	2	8	"ME_#1 - 3530_ChG"	17	1	1	5
	18	1	23	1	2	8	"KH_#1 - 3530_ChG"	18	1	1	5
	19	1	23	1	2	8	"BN_#1 - 3530_ChG"	19	1	1	5
	20	1	23	1	2	8	"FW_#1 - 3530_ChG"	20	1	1	5
	21	1	23	1	2	8	"LC/TU_#1 LC- 3530_ChG"	21	1	1	5
	22	1	23	1	2	8	"LC/TU_#2 LC- 3530_ChG"	22	1	1	5
	23	1	23	1	2	8	"LC/TU_#3 TU- 3530_ChG"	23	1	1	5
	24	1	23	1	2	8	"NR_#1 - 3530_ChG"	24	1	1	5
	25	1	23	1	2	8	"RE_#1 - 3530_ChG"	25	1	1	5
	26	1	23	1	2	8	"RW_#1 - 3530_ChG"	26	1	1	5
	27	1	23	1	2	8	"WO_#1 - 3530_ChG"	27	1	1	5
	28	1	23	1	2	8	"SN_#1 - 3530_ChG"	28	1	1	5
	29	1	23	1	2	8	"DI_#1 - 3530_ChG"	29	1	1	5
	30	1	23	1	2	8	"DI_#2 - 3530_ChG"	30	1	1	5
	31	1	23	1	2	8	"BC_#1 - 3530_ChG"	31	1	1	5
	32	1	23	1	2	8	"MI_#1 - 3530_ChG"	32	1	1	5
	33	1	23	1	2	8	"MI_#2 - 3530_ChG"	33	1	1	5
	34	1	23	1	2	8	"MX_#1 - 3530_ChG"	34	1	1	5
	35	1	23	1	2	8	"GL_#1 - 3530_ChG"	35	1	1	5
	36	1	23	1	2	8	"DB_#1 - 3530_ChG"	36	1	1	5
	37	1	23	1	2	8	"DB_#2 - 3530_ChG"	37	1	1	5
	38	1	23	1	2	8	"DB_#3 - 3530_ChG"	38	1	1	5
