QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,Full Point Name,OSI SCADA ID,IP,DNP Address,DNP Point #,,
05592,ME,1B,ME BKR 1B AMPS BKR TRIP,1,11,,,17,,,.29311187,ANALOG,ANALOG1B,ME1B,4041001,172.16.3.81,1,47,47,1
05593,ME,3PF,ME FDR 3 POWER FACTOR,1,11,,,38,,,0.1,ANALOG,ANALOG3PF,ME3PF,4041002,172.16.3.81,1,63,63,1
05598,ME,TX1W,MELROSE WATTS,1,11,,,6,,,48,ANALOG,ANALOGTX1W,METX1W,4041003,172.16.3.81,1,31,31,1
05659,ME,P1,MELROSE ACCUMULATOR FPL,1,11, ,,,,,7.2,PULSE,PULSEP1,MEP1,4041004,172.16.3.81,1,#N/A,#N/A,#N/A
05660,ME,RAV1,ME REG A PH VOLTS,1,11, ,,0,,,0.1,ANALOG,ANALOGRAV1,MERAV1,4041005,172.16.3.81,1,24,24,1
05661,ME,RBV1,ME REG B PH VOLTS,1,11,1,,1,,,0.1,ANALOG,ANALOGRBV1,MERBV1,4041006,172.16.3.81,1,25,25,1
05832,ME,2A,ME BKR 2A AMPS BKR TRIP,1,11,,,19,,,.29311187,ANALOG,ANALOG2A,ME2A,4041007,172.16.3.81,1,52,52,1
05839,ME,2B,ME BKR 2B AMPS BKR TRIP,1,11,,,20,,,.29311187,ANALOG,ANALOG2B,ME2B,4041008,172.16.3.81,1,53,53,1
05863,ME,2C,ME BKR 2C AMPS BKR TRIP,1,11,,,21,,,.29311187,ANALOG,ANALOG2C,ME2C,4041009,172.16.3.81,1,54,54,1
06115,ME,RCV1,RCV1,1,11,2,,2,,,0.1,ANALOG,ANALOGRCV1,MERCV1,4041010,172.16.3.81,1,26,26,1
06215,ME,TX1A,ME TX A AMPS C/S TRIP,1,11,3,,3,,,1.2,ANALOG,ANALOGTX1A,METXA,4041011,172.16.3.81,1,27,27,1
06425,ME,1A,ME BKR 1A AMPS BKR TRIP,1,11,,,16,,,.29311187,ANALOG,ANALOG1A,ME1A,4041012,172.16.3.81,1,46,46,1
06426,ME,1C,ME BKR 1C AMPS BKR TRIP,1,11,,,18,,,.29311187,ANALOG,ANALOG1C,ME1C,4041013,172.16.3.81,1,48,48,1
06427,ME,3A,ME BKR 3A AMPS BKR TRIP,1,11,,,22,,,.29311187,ANALOG,ANALOG3A,ME3A,4041014,172.16.3.81,1,58,58,1
06428,ME,4PF,ME FDR 4 POWER FACTOR,1,11,,,39,,,0.1,ANALOG,ANALOG4PF,ME4PF,4041015,172.16.3.81,1,69,69,1
06600,ME,TX1FRQ,ME FREQUENCY,1,11,,,8,,,0.1,ANALOG,ANALOGTX1FRQ,METX1FRQ,4041016,172.16.3.81,1,35,35,1
06612,ME,PF1M,ME POWER FACTOR METER,1,11,,,7,,,0.1,ANALOG,ANALOGPF1M,MEPF1M,4041017,172.16.3.81,1,34,34,1
06705,ME,1KW,ME FDR 1 WATTS,1,11,,,32,,,10,ANALOG,ANALOG1KW,ME1KW,4041018,172.16.3.81,1,49,49,1
06709,ME,2KW,ME FDR 2 WATTS,1,11,,,33,,,10,ANALOG,ANALOG2KW,ME2KW,4041019,172.16.3.81,1,55,55,1
06728,ME,3KW,ME FDR 3 WATTS,1,11,,,34,,,10,ANALOG,ANALOG3KW,ME3KW,4041020,172.16.3.81,1,61,61,1
06729,ME,4KW,ME FDR 4 WATTS,1,11,,,35,,,10,ANALOG,ANALOG4KW,ME4KW,4041021,172.16.3.81,1,67,67,1
06943,ME,KVA1M,ME KVA METER,1,11,,,9,,,48,ANALOG,ANALOGKVA1M,MEKVA1M,4041022,172.16.3.81,1,30,30,1
07187,ME,TX1B,ME TX B AMPS C/S TRIP,1,11,4,,4,,,1.2,ANALOG,ANALOGTX1B,METX1B,4041023,172.16.3.81,1,28,28,1
07188,ME,TX1C,ME TX C AMPS C/S TRIP,1,11,5,,5,,,1.2,ANALOG,ANALOGTX1C,METX1C,4041024,172.16.3.81,1,29,29,1
07196,ME,3B,ME BKR 3B AMPS BKR TRIP,1,11,,,23,,,.29311187,ANALOG,ANALOG3B,ME3B,4041025,172.16.3.81,1,59,59,1
07197,ME,3C,ME BKR 3C AMPS BKR TRIP,1,11,,,24,,,.29311187,ANALOG,ANALOG3C,ME3C,4041026,172.16.3.81,1,60,60,1
07198,ME,4A,ME BKR 4A AMPS BKR TRIP,1,11,,,25,,,.29311187,ANALOG,ANALOG4A,ME4A,4041027,172.16.3.81,1,64,64,1
07199,ME,4B,ME BKR 4B AMPS BKR TRIP,1,11,,,26,,,.29311187,ANALOG,ANALOG4B,ME4B,4041028,172.16.3.81,1,65,65,1
07200,ME,4C,ME BKR 4C AMPS BKR TRIP,1,11,,,27,,,.29311187,ANALOG,ANALOG4C,ME4C,4041029,172.16.3.81,1,66,66,1
07201,ME,LTC1,ME LD TAP CHGR POS,1,11,,,28,,,.0078,ANALOG,ANALOGLTC1,MELTC1,4041030,172.16.3.81,1,21,21,1
07219,ME,KWPHR1,ME PREVIOUS HOUR DEMAND,1,11,,,12,,,144,ANALOG,ANALOGKWPHR1,MEKWPHR1,4041031,172.16.3.81,1,36,36,1
07699,ME,P2,MELROSE ACCUMULATOR CEC,1,11,1,,,,,,PULSE,PULSEP2,MEP2,4041032,172.16.3.81,1,#N/A,#N/A,#N/A
07733,ME,MV1-,ME VARS LEAD,1,11,,,11,,,48,ANALOG,ANALOGMV1-,MEMV1-,4041033,172.16.3.81,1,33,33,1
07757,ME,MV1,ME VARS LAG,1,11,,,10,,,48,ANALOG,ANALOGMV1,MEMV1,4041034,172.16.3.81,1,32,32,1
07759,ME,DCV,ME DC VOLTS,1,11,,,29,,,.07327797,ANALOG,ANALOGDCV,MEDCV,4041035,172.16.3.81,1,70,70,1
07760,ME,1PF,ME FDR 1 POWER FACTOR,1,11,,,36,,,0.1,ANALOG,ANALOG1PF,ME1PF,4041036,172.16.3.81,1,51,51,1
07773,ME,2PF,ME FDR 2 POWER FACTOR,1,11,,,37,,,0.1,ANALOG,ANALOG2PF,ME2PF,4041037,172.16.3.81,1,57,57,1
08081,ME,THST1,ME TX WINDING 1 TEMP,1,11,,,40,,,1,ANALOG,ANALOGTHST1,METHST1,4041038,172.16.3.81,1,38,38,1
08082,ME,THST2,ME TX WINDING 2 TEMP,1,11,,,41,,,1,ANALOG,ANALOGTHST2,METHST2,4041039,172.16.3.81,1,39,39,1
08083,ME,THST3,ME TX WINDING 3 TEMP,1,11,,,42,,,1,ANALOG,ANALOGTHST3,METHST3,4041040,172.16.3.81,1,40,40,1
08084,ME,TXTEMP,ME TX TANK OIL TEMP,1,11,,,43,,,1,ANALOG,ANALOGTXTEMP,METXTEMP,4041041,172.16.3.81,1,41,41,1
08371,ME,TCTEMP,ME LTC TANK OIL TEMP,1,11,,,44,,,1,ANALOG,ANALOGTCTEMP,METCTEMP,4041042,172.16.3.81,1,42,42,1
