Name  ,Desc  ,Zones  ,PreSuffx  ,Comm_Line  ,RTU_Number  ,Scan_PT  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Alarm_Task  ,Alarm_Fmt  ,APoint_01  ,APoint_02  ,APoint_03  ,APoint_04  ,APoint_05  ,APoint_06  ,APoint_07  ,APoint_08  ,APoint_09  ,APoint_10  ,Param_01  ,Param_02  ,Param_03  
"LA,RTU     ",LAKE ASBURY REMOTE SEL  ,4  ,0  ,11  ,33  ,"LA  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"LA  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"MN,RTU     ",MANNVILLE REMOTE SEL  ,6  ,0  ,6  ,17  ,"MN  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"MN  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SN,RTU     ",SANDERSON RTU SEL  ,3  ,0  ,3  ,23  ,"SN  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"SN  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"WE,RTU     ",WESCONNETT REMOTE SEL  ,4  ,0  ,4  ,43  ,"WE  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"WE  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"FW,RTU     ",FW RTU SEL  ,5  ,0  ,5  ,21  ,"FW  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"FW  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"BY,RTU     ",BRICKYARD RTU SEL  ,4  ,0  ,4  ,55  ,"BY  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"BY  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"GC,RTU     ",GREEN COVE RTU SEL  ,1 2 3 4 5 6 7 8  ,0  ,11  ,39  ,"GC  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"GC  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"BW,RTU     ",BELAIR WEST REMOTE SEL  ,4  ,0  ,4  ,25  ,"BW  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"BW  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU4    ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,4  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU7    ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,7  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"DI,RTU     ",DR INLET REMOTE SEL  ,3  ,0  ,3  ,45  ,"DI  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"DI  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"ES,RTU     ",ELECTRONIC SHOP REMOTE  ,2  ,0  ,1  ,61  ,"ES  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"ES  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"DB,RTU     ",DOUBLE BRANCH REMOTE SEL  ,3  ,0  ,3  ,7  ,"DB  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"DB  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SG,RTU     ",SG RTU (PHONE LINE)  ,7  ,0  ,7  ,37  ,"SG  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"SG  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"BR,RTU     ",BROOKER REMOTE SEL  ,5  ,0  ,5  ,7  ,"BR  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"BR  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"OP,RTU     ",ORANGE PARK REMOTE SEL  ,4  ,0  ,4  ,23  ,"OP  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"OP  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"BL,RTU     ",BLAND REMOTE SEL  ,5  ,0  ,5  ,15  ,"BL  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"BL  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SS,RTU     ",SALT SPRINGS RTU SEL  ,7 8  ,0  ,7  ,27  ,"SS  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"SS  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
