* 
	20	RTU_CONTROL	1	2	4	6	13	25,1	43
*	KeySCADA	control_type	point_address	pRTU	control_format	control_bit_params	Name
	1	"01041004"	6	18	17	1	1	"ME,1"
	2	"01041005"	6	23	17	1	1	"ME,2"
	3	"01041006"	6	33	17	1	1	"ME,4"
	4	"01041007"	6	19	17	1	1	"ME,1R"
	5	"01041008"	6	24	17	1	1	"ME,2R"
	6	"01041009"	6	34	17	1	1	"ME,4R"
	7	"01041010"	6	20	17	1	1	"ME,1GT"
	8	"01041012"	6	25	17	1	1	"ME,2GT"
	9	"01041014"	6	28	17	1	1	"ME,3"
	10	"01041015"	6	29	17	1	1	"ME,3R"
	11	"01041018"	6	30	17	1	1	"ME,3GT"
	12	"01041019"	6	9	17	1	1	"ME,TX1K1"
	13	"01041020"	6	10	17	1	1	"ME,TX1K2"
	14	"01041025"	6	35	17	1	1	"ME,4GT"
	15	"01041042"	6	8	17	1	1	"ME,TCA1"
	16	"01041056"	6	0	17	1	1	"ME,K697"
	17	"01041063"	6	11	17	1	1	"ME,TC"
	18	"01041076"	6	17	17	1	1	"ME,S3L12"
	19	"01041086"	6	6	17	1	1	"ME,T1FAN1"
	20	"01041087"	6	7	17	1	1	"ME,T1FAN2"
	21	"01041096"	6	21	17	1	1	"ME,1HL"
	22	"01041097"	6	26	17	1	1	"ME,2HL"
	23	"01041098"	6	31	17	1	1	"ME,3HL"
	24	"01041099"	6	36	17	1	1	"ME,4HL"
 0
