* 
	6	RTU_DATA	0	2	3	5	14	55
*	Indics	1s	pCHANNEL_GROUP	Protocol	Name	Address	SubType
	1	1	1	8	"AC_#1 - 3530_RTU"	1	2
	2	1	2	8	"AL_#1 - 3530_RTU"	1	2
	3	1	3	8	"AL_#2 - 3530_RTU"	1	2
	4	1	4	8	"WH_#1 - 3530_RTU"	1	2
	5	1	5	8	"FA_#1 - 3530_RTU"	1	2
	6	1	6	8	"HL_#1 - 3530_RTU"	1	2
	7	1	7	8	"HL_#2 - 3530_RTU"	1	2
	8	1	8	8	"PH_#1 - 3530_RTU"	1	2
	9	1	9	8	"BL_#1 - 3530_RTU"	1	2
	10	1	10	8	"WS_#1 - 3530_RTU"	1	2
	11	1	11	8	"CA_#1 - 3530_RTU"	1	2
	12	1	12	8	"BR_#1 - 3530_RTU"	1	2
	13	1	13	8	"WB_#1 - 3530_RTU"	1	2
	14	1	14	8	"WA_#1 - 3530_RTU"	1	2
	15	1	15	8	"FL_#1 - 3530_RTU"	1	2
	16	1	16	8	"FL_#2 - 3530_RTU"	1	2
	17	1	17	8	"ME_#1 - 3530_RTU"	1	2
	18	1	18	8	"KH_#1 - 3530_RTU"	1	2
	19	1	19	8	"BN_#1 - 3530_RTU"	1	2
	20	1	20	8	"FW_#1 - 3530_RTU"	1	2
	21	1	21	8	"LC/TU_#1 LC- 3530_RTU"	1	2
	22	1	22	8	"LC/TU_#2 LC- 3530_RTU"	1	2
	23	1	23	8	"LC/TU_#3 TU- 3530_RTU"	1	2
	24	1	24	8	"NR_#1 - 3530_RTU"	1	2
	25	1	25	8	"RE_#1 - 3530_RTU"	1	2
	26	1	26	8	"RW_#1 - 3530_RTU"	1	2
	27	1	27	8	"WO_#1 - 3530_RTU"	1	2
	28	1	28	8	"SN_#1 - 3530_RTU"	1	2
	29	1	29	8	"DI_#1 - 3530_RTU"	1	2
	30	1	30	8	"DI_#2 - 3530_RTU"	1	2
	31	1	31	8	"BC_#1 - 3530_RTU"	1	2
	32	1	32	8	"MI_#1 - 3530_RTU"	1	2
	33	1	33	8	"MI_#2 - 3530_RTU"	1	2
	34	1	34	8	"MX_#1 - 3530_RTU"	1	2
	35	1	35	8	"GL_#1 - 3530_RTU"	1	2
	36	1	36	8	"DB_#1 - 3530_RTU"	1	2
	37	1	37	8	"DB_#2 - 3530_RTU"	1	2
	38	1	38	8	"DB_#3 - 3530_RTU"	1	2
	39	1	39	8	"OP_#1 - 3530_RTU"	1	2
	40	1	40	8	"OP_#2 - 3530_RTU"	1	2
	41	1	41	8	"RD_#1 - 3530_RTU"	1	2
	42	1	42	8	"RD_#2 - 3530_RTU"	1	2
	43	1	43	8	"WE_#1 - 3530_RTU"	1	2
	44	1	44	8	"WE_#2 - 3530_RTU"	1	2
	45	1	45	8	"BW_#1 - 3530_RTU"	1	2
	46	1	46	8	"BY_#1 - 3530_RTU"	1	2
	47	1	47	8	"BY_#2 - 3530_RTU"	1	2
	48	1	48	8	"GC_#1 - 3530_RTU"	1	2
	49	1	49	8	"FI_#1 - 3530_RTU"	1	2
	50	1	50	8	"FI_#2 - 3530_RTU"	1	2
	51	1	51	8	"FI_#3 - 3530_RTU"	1	2
	52	1	52	8	"LA_#1 - 3530_RTU"	1	2
	53	1	53	8	"SG_#1 - 3530_RTU"	1	2
	54	1	54	8	"SS_#1 - 3530_RTU"	1	2
	55	1	55	8	"SSN_#1 - 3530_RTU"	1	2
	56	1	56	8	"GT_#1 - 3530_RTU"	1	2
	57	1	57	8	"HA_#1 - 3530_RTU"	1	2
	58	1	58	8	"AB_#1 - 3530_RTU"	1	2
	59	1	59	8	"PP_#1 - 3530_RTU"	1	2
	60	1	60	8	"AS_#1 - 3530_RTU"	1	2
	61	1	61	8	"HB_#1 - 3530_RTU"	1	2
	62	1	62	8	"HW_#1 - 3530_RTU"	1	2
	63	1	63	8	"FR_#1 - 3530_RTU"	1	2
	64	1	64	8	"FR_#2 - 3530_RTU"	1	2
	65	1	65	8	"GP_#1 - 3530_RTU"	1	2
	66	1	66	8	"MN_#1 - 3530_RTU"	1	2
	67	1	67	8	"FB_#1 - 3530_RTU"	1	2
	68	1	68	8	"RV_#1 - 3530_RTU"	1	2
	69	1	69	8	"SA_#1 - 3530_RTU"	1	2
	70	1	70	8	"FM_#1 - 3530_RTU"	1	2
	71	1	71	8	"LY_#1 - 3530_RTU"	1	2
	72	1	72	8	"RS_#1 - 3530_RTU"	1	2
	73	1	73	8	"RS_#2 - 3530_RTU"	1	2
 0
