32 FEP.DB
* 
	10	SCAN_DATA	0	14	35
*	Record	1s	RTAC_point_type	RTAC_address	RTAC_Number	RTAC IP	RTAC NAME	RTAC Abr	DNP Point Address	Name	DestinationKey
	1	1	1	32	17	172.16.3.81	Melrose	ME	31	"ME,T1F1AC"	"01041001"
	2	1	1	33	17	172.16.3.81	Melrose	ME	32	"ME,T1F2AC"	"01041001"
	3	1	1	34	17	172.16.3.81	Melrose	ME	33	"ME,TX1NHI"	"01041001"
	4	1	1	35	17	172.16.3.81	Melrose	ME	34	"ME,TX1NLO"	"01041001"
	5	1	1	36	17	172.16.3.81	Melrose	ME	35	"ME,T1NCLO"	"01041001"
	6	1	1	37	17	172.16.3.81	Melrose	ME	36	"ME,T1PR"	"01041001"
	7	1	1	38	17	172.16.3.81	Melrose	ME	37	"ME,T1SP"	"01041001"
	8	1	1	39	17	172.16.3.81	Melrose	ME	38	"ME,TX1LO"	"01041001"
	9	1	1	40	17	172.16.3.81	Melrose	ME	39	"ME,TX1HI"	"01041001"
	10	1	1	41	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	11	1	1	42	17	172.16.3.81	Melrose	ME	41	"ME,LTC1LO"	"01041001"
	12	1	1	43	17	172.16.3.81	Melrose	ME	42	"ME,TC1PWR"	"01041001"
	13	1	1	44	17	172.16.3.81	Melrose	ME	43	"ME,TCP1"	"01041001"
	14	1	1	45	17	172.16.3.81	Melrose	ME	44	"ME,LTCMT1"	"01041001"
	15	1	1	46	17	172.16.3.81	Melrose	ME	45	"ME,TCPR1"	"01041001"
	16	1	1	47	17	172.16.3.81	Melrose	ME	46	"ME,86X1"	"01041001"
	17	1	1	48	17	172.16.3.81	Melrose	ME	47	"ME,T1FAN1"	"01041001"
	18	1	1	49	17	172.16.3.81	Melrose	ME	48	"ME,T1FAN2"	"01041001"
	19	1	1	50	17	172.16.3.81	Melrose	ME	49	"ME,TX1TOT"	"01041001"
	20	1	1	51	17	172.16.3.81	Melrose	ME	50	"ME,TX1HS"	"01041001"
	21	1	1	52	17	172.16.3.81	Melrose	ME	51	"ME,TX1LR"	"01041001"
	22	1	1	53	17	172.16.3.81	Melrose	ME	52	"ME,TX1K1"	"01041001"
	23	1	1	54	17	172.16.3.81	Melrose	ME	53	"ME,TX1K2"	"01041001"
	24	1	1	55	17	172.16.3.81	Melrose	ME	54	"ME,TCA1"	"01041001"
	25	1	1	56	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	26	1	1	57	17	172.16.3.81	Melrose	ME	56	"ME,T1HIAL"	"01041001"
	27	1	1	58	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	28	1	1	59	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	29	1	1	60	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	30	1	1	61	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	31	1	1	62	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	32	1	1	63	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	33	1	1	64	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	34	1	1	65	17	172.16.3.81	Melrose	ME	64	"ME,S3L12"	"01041001"
	35	1	1	66	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	36	1	1	67	17	172.16.3.81	Melrose	ME	66	"ME,1"	"01041001"
	37	1	1	68	17	172.16.3.81	Melrose	ME	67	"ME,1R"	"01041001"
	38	1	1	69	17	172.16.3.81	Melrose	ME	68	"ME,1GT"	"01041001"
	39	1	1	70	17	172.16.3.81	Melrose	ME	69	"ME,1LR"	"01041001"
	40	1	1	71	17	172.16.3.81	Melrose	ME	70	"ME,1UF"	"01041001"
	41	1	1	72	17	172.16.3.81	Melrose	ME	71	"ME,1BF"	"01041001"
	42	1	1	73	17	172.16.3.81	Melrose	ME	72	"ME,1HL"	"01041001"
	43	1	1	74	17	172.16.3.81	Melrose	ME	73	"ME,1POT"	"01041001"
	44	1	1	75	17	172.16.3.81	Melrose	ME	74	"ME,79LO1"	"01041001"
	45	1	1	76	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	46	1	1	77	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	47	1	1	78	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	48	1	1	79	17	172.16.3.81	Melrose	ME	78	"ME,2"	"01041001"
	49	1	1	80	17	172.16.3.81	Melrose	ME	79	"ME,2R"	"01041001"
	50	1	1	81	17	172.16.3.81	Melrose	ME	80	"ME,2GT"	"01041001"
	51	1	1	82	17	172.16.3.81	Melrose	ME	81	"ME,2LR"	"01041001"
	52	1	1	83	17	172.16.3.81	Melrose	ME	82	"ME,2UF"	"01041001"
	53	1	1	84	17	172.16.3.81	Melrose	ME	83	"ME,2BF"	"01041001"
	54	1	1	85	17	172.16.3.81	Melrose	ME	84	"ME,2HL"	"01041001"
	55	1	1	86	17	172.16.3.81	Melrose	ME	85	"ME,2POT"	"01041001"
	56	1	1	87	17	172.16.3.81	Melrose	ME	86	"ME,79LO2"	"01041001"
	57	1	1	88	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	58	1	1	89	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	59	1	1	90	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	60	1	1	91	17	172.16.3.81	Melrose	ME	90	"ME,3"	"01041001"
	61	1	1	92	17	172.16.3.81	Melrose	ME	91	"ME,3R"	"01041001"
	62	1	1	93	17	172.16.3.81	Melrose	ME	92	"ME,3GT"	"01041001"
	63	1	1	94	17	172.16.3.81	Melrose	ME	93	"ME,3LR"	"01041001"
	64	1	1	95	17	172.16.3.81	Melrose	ME	94	"ME,3UF"	"01041001"
	65	1	1	96	17	172.16.3.81	Melrose	ME	95	"ME,3BF"	"01041001"
	66	1	1	97	17	172.16.3.81	Melrose	ME	96	"ME,3HL"	"01041001"
	67	1	1	98	17	172.16.3.81	Melrose	ME	97	"ME,3POT"	"01041001"
	68	1	1	99	17	172.16.3.81	Melrose	ME	98	"ME,79LO3"	"01041001"
	69	1	1	100	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	70	1	1	101	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	71	1	1	102	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	72	1	1	103	17	172.16.3.81	Melrose	ME	102	"ME,4"	"01041001"
	73	1	1	104	17	172.16.3.81	Melrose	ME	103	"ME,4R"	"01041001"
	74	1	1	105	17	172.16.3.81	Melrose	ME	104	"ME,4GT"	"01041001"
	75	1	1	106	17	172.16.3.81	Melrose	ME	105	"ME,4LR"	"01041001"
	76	1	1	107	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	77	1	1	108	17	172.16.3.81	Melrose	ME	107	"ME,4BF"	"01041001"
	78	1	1	109	17	172.16.3.81	Melrose	ME	108	"ME,4HL"	"01041001"
	79	1	1	110	17	172.16.3.81	Melrose	ME	109	"ME,4POT"	"01041001"
	80	1	1	111	17	172.16.3.81	Melrose	ME	110	"ME,79LO4"	"01041001"
	81	1	1	112	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	82	1	1	113	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	83	1	1	114	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	84	1	1	115	17	172.16.3.81	Melrose	ME	114	"ME,35C101"	"01041001"
	85	1	1	116	17	172.16.3.81	Melrose	ME	115	"ME,35C102"	"01041001"
	86	1	1	117	17	172.16.3.81	Melrose	ME	116	"ME,35C103"	"01041001"
	87	1	1	118	17	172.16.3.81	Melrose	ME	117	"ME,35C104"	"01041001"
	88	1	1	119	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	89	1	1	120	17	172.16.3.81	Melrose	ME	119	"ME,35C106"	"01041001"
	90	1	1	121	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	91	1	1	122	17	172.16.3.81	Melrose	ME	121	"ME,MET1CP"	"01041001"
	92	1	1	123	17	172.16.3.81	Melrose	ME	122	"ME,35C109"	"01041001"
	93	1	1	124	17	172.16.3.81	Melrose	ME	123	"ME,35C110"	"01041001"
	94	1	1	125	17	172.16.3.81	Melrose	ME	124	"ME,35C111"	"01041001"
	95	1	1	126	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	96	1	1	127	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	97	1	1	128	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	98	1	1	129	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	99	1	1	130	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	100	1	1	131	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	101	1	1	132	17	172.16.3.81	Melrose	ME	131	"ME,35C118"	"01041001"
	102	1	1	133	17	172.16.3.81	Melrose	ME	132	"ME,35C119"	"01041001"
	103	1	1	134	17	172.16.3.81	Melrose	ME	133	"ME,35C120"	"01041001"
	104	1	1	135	17	172.16.3.81	Melrose	ME	134	"ME,35C121"	"01041001"
	105	1	1	136	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	106	1	1	137	17	172.16.3.81	Melrose	ME	136	"ME,35C123"	"01041001"
	107	1	1	138	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	108	1	1	139	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	109	1	1	140	17	172.16.3.81	Melrose	ME	139	"ME,35C126"	"01041001"
	110	1	1	141	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	111	1	1	142	17	172.16.3.81	Melrose	ME	141	"ME,35C128"	"01041001"
	112	1	1	143	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	113	1	1	144	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	114	1	1	145	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	115	1	1	146	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	116	1	1	147	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	117	1	1	148	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	118	1	1	149	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	119	1	1	150	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	120	1	1	151	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	121	1	1	152	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	122	1	1	153	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	123	1	1	154	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	124	1	1	155	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	125	1	1	156	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	126	1	1	157	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	127	1	1	158	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
	128	1	1	159	17	172.16.3.81	Melrose	ME	none	"none"	"01041001"
