* 
	28	SCAN_DEFN	1,0	1,1	1,2	2,0	2,1	2,2
*	Mode_1	Mode_2	Mode_3	GSD_1	GSD_2	GSD_3
	1	1	1	1	2	3
	2	1	1	1	2	3
	3	1	1	1	2	3
	4	1	1	1	2	3
	5	1	1	1	2	3
	6	1	1	1	2	3
	7	1	1	1	2	3
	8	1	1	1	2	3
	9	1	1	1	2	3
	10	1	1	1	2	3
	11	1	1	1	2	3
	12	1	1	1	2	3
	13	1	1	1	2	3
	14	1	1	1	2	3
	15	1	1	1	2	3
	16	1	1	1	2	3
	17	1	1	1	2	3
	18	1	1	1	2	3
	19	1	1	1	2	3
	20	1	1	1	2	3
	21	1	1	1	2	3
	22	1	1	1	2	3
	23	1	1	1	2	3
	24	1	1	1	2	3
	25	1	1	1	2	3
	26	1	1	1	2	3
	27	1	1	1	2	3
	28	1	1	1	2	3
	29	1	1	1	2	3
	30	1	1	1	2	3
	31	1	1	1	2	3
	32	1	1	1	2	3
	33	1	1	1	2	3
	34	1	1	1	2	3
	35	1	1	1	2	3
	36	1	1	1	2	3
	37	1	1	1	2	3
	38	1	1	1	2	3
	39	1	1	1	2	3
	40	1	1	1	2	3
	41	1	1	1	2	3
	42	1	1	1	2	3
	43	1	1	1	2	3
	44	1	1	1	2	3
	45	1	1	1	2	3
	46	1	1	1	2	3
	47	1	1	1	2	3
	48	1	1	1	2	3
	49	1	1	1	2	3
	50	1	1	1	2	3
	51	1	1	1	2	3
	52	1	1	1	2	3
	53	1	1	1	2	3
	54	1	1	1	2	3
	55	1	1	1	2	3
	56	1	1	1	2	3
	57	1	1	1	2	3
	58	1	1	1	2	3
	59	1	1	1	2	3
	60	1	1	1	2	3
	61	1	1	1	2	3
	62	1	1	1	2	3
	63	1	1	1	2	3
	64	1	1	1	2	3
	65	1	1	1	2	3
	66	1	1	1	2	3
	67	1	1	1	2	3
	68	1	1	1	2	3
	69	1	1	1	2	3
	70	1	1	1	2	3
	71	1	1	1	2	3
	72	1	1	1	2	3
	73	1	1	1	2	3
 0
