record,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,pDeviceInstance
1,1,1,"""01016001""","""MOBIL TX HOT OIL TEMP""",016,4,209,0,1,"""""",1
2,2,1,"""01025001""","""PH DIFF RELAY DISABLE""",025,5,206,0,1,"""""",2
3,3,1,"""01015001""","""BW 2100-1 ALARM COM 9""",015,4,227,0,1,"""""",3
4,4,5,"""02055001""","""SB PSEUDO BREAKER""",055,1,216,0,1,"""""",4
5,5,1,"""01025002""","""YARD BOX 2505 SELF CHECK""",025,5,227,0,1,"""""",5
6,6,5,"""02011001""","""MI FAST SCAN""",011,3,226,0,1,"""""",6
7,7,1,"""01011001""","""MI BKR 4 LOC/REM SW""",011,3,214,0,1,"""""",7
8,8,1,"""01025003""","""PH BKR 3 LOC/REM SW""",025,5,214,0,1,"""""",8
9,9,5,"""02022001""","""GREEN COVE FAST SCAN""",022,4,226,0,1,"""""",6
10,10,5,"""02007001""","""BC FAST SCAN""",007,4,226,0,1,"""""",6
11,11,1,"""01051001""","""311C-2 CP21 (MBIT)""",051,3,227,0,1,"""""",9
12,12,1,"""01021001""","""BRK 2 BKR FAIL""",021,5,220,0,1,"""""",10
13,13,1,"""01042001""","""LY TX1 TANK HI OIL""",042,7,211,0,1,"""""",11
14,14,1,"""01042002""","""LY TX1 2411 ALARMS COMM""",042,7,227,0,1,"""""",12
15,15,1,"""01021002""","""DIFF PROT DISABLE SW STA""",021,5,206,0,1,"""""",2
16,16,2,"""01022001""","""GREEN COVE BKR 1""",022,4,202,0,1,"""""",13
17,17,2,"""01022002""","""GREEN COVE BKR 1 RECL""",022,4,205,0,1,"""""",14
18,18,2,"""01022003""","""GC 1 GRND TRIP BLOCK""",022,4,222,0,1,"""""",15
19,19,1,"""01022004""","""GC BKR 1 STA COM""",022,4,227,0,1,"""""",16
20,20,1,"""01022005""","""GC BKR 1 LOC/REM SW""",022,4,214,0,1,"""""",17
21,21,1,"""01022006""","""GC BKR 1 351 SELF CHECK""",022,4,227,0,1,"""""",18
22,22,1,"""01022007""","""GC BKR 1 CTL COM""",022,4,227,0,1,"""""",19
23,23,8,"""12002001""","""PSEUDO SWITCH""",002,10,216,0,1,"""""",20
24,24,5,"""02055002""","""SB PSEUDO BREAKER""",055,1,216,0,1,"""""",21
25,25,1,"""01027001""","""RS TX2 735 MET CPORT8""",027,4,227,0,1,"""""",22
26,26,1,"""01045001""","""MOBILE TX HOT OIL TEMP""",045,3,209,0,1,"""""",1
27,27,1,"""01045002""","""MOBILE TX HOT SPOT""",045,3,209,0,1,"""""",23
28,28,1,"""01045003""","""MOBILE TX LOSS OF AC""",045,3,227,0,1,"""""",24
29,29,1,"""01052001""","""W6144 LOSS OF POTENTIAL""",052,6,205,0,1,"""""",25
30,30,1,"""01051002""","""311C-1 CP19 (MBIT)""",051,3,227,0,1,"""""",26
31,31,1,"""01004001""","""LTC FILTER""",004,5,227,0,1,"""""",27
32,32,3,"""41055001""","""LC TX2 LTC SUPV AUTO/MAN""",055,3,221,0,1,"""""",28
33,33,1,"""01007001""","""BC 2032 SELF CHECK""",007,3,227,0,1,"""""",29
34,34,1,"""01001001""","""DI TX2 STG1 FANS LOSS AC""",001,3,205,0,1,"""""",30
35,35,1,"""01052002""","""W6144 LOW GAS TRIP BLOCK""",052,1,210,0,1,"""""",31
36,36,1,"""01015002""","""TX1 REGC STA/CTRL FAIL""",015,4,227,0,1,"""""",32
37,37,1,"""01010001""","""3L11S TX1 LBI""",010,5,216,0,1,"""""",33
38,38,1,"""01007002""","""BC 6W55 RD 115KV BKR""",007,3,202,0,1,"""""",34
