record,name_to_match,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,FeedbackKey,pDeviceInstance,pCtrlState,pScale,HiControlLimit,LoControlLimit,Setpoint_emulation,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
1,"OP,MTXTOT",1,1,"""01016001""","""MOBIL TX HOT OIL TEMP""",016,4,209,0,1,"""""","""""",1,"""""","""""","""""","""""","""""","OP,MTXTOT  ",MOBIL TX HOT OIL TEMP  ,4  ,8,8  ,  ,  ,  ,0
2,"PH,DRD",2,1,"""01025001""","""PH DIFF RELAY DISABLE""",025,5,206,0,1,"""""","""""",2,"""""","""""","""""","""""","""""","PH,DRD     ",PH DIFF RELAY DISABLE  ,5  ,5,1  ,  ,  ,  ,0
3,"BW,35C109",3,1,"""01015001""","""BW 2100-1 ALARM COM 9""",015,4,227,0,1,"""""","""""",3,"""""","""""","""""","""""","""""","BW,35C109  ",BW 2100-1 ALARM COM 9  ,4  ,26,4  ,  ,  ,  ,0
4,"PS,S8W219",4,5,"""02055001""","""SB PSEUDO BREAKER""",055,1,216,0,1,"""""","""""",4,"""""","""""","""""","""""","""""","PS,S8W219  ",SB PSEUDO BREAKER  ,1  ,15,  ,  ,  ,  ,0
5,"PH,25YBSC",5,1,"""01025002""","""YARD BOX 2505 SELF CHECK""",025,5,227,0,1,"""""","""""",5,"""""","""""","""""","""""","""""","PH,25YBSC  ",YARD BOX 2505 SELF CHECK  ,5  ,26,1  ,  ,  ,  ,0
6,"MI,FS",6,5,"""02011001""","""MI FAST SCAN""",011,3,226,0,1,"""""","""""",6,"""""","""""","""""","""""","""""","MI,FS      ",MI FAST SCAN  ,3  ,25,  ,  ,  ,  ,0
7,"MI,4LR",7,1,"""01011001""","""MI BKR 4 LOC/REM SW""",011,3,214,0,1,"""""","""""",7,"""""","""""","""""","""""","""""","MI,4LR     ",MI BKR 4 LOC/REM SW  ,3  ,13,0  ,  ,  ,  ,0
8,"PH,3LR",8,1,"""01025003""","""PH BKR 3 LOC/REM SW""",025,5,214,0,1,"""""","""""",8,"""""","""""","""""","""""","""""","PH,3LR     ",PH BKR 3 LOC/REM SW  ,5  ,13,0  ,  ,  ,  ,0
9,"GC,FS",9,5,"""02022001""","""GREEN COVE FAST SCAN""",022,4,226,0,1,"""""","""""",6,"""""","""""","""""","""""","""""","GC,FS      ",GREEN COVE FAST SCAN  ,4  ,25,  ,  ,  ,  ,0
10,"BC,FS",10,5,"""02007001""","""BC FAST SCAN""",007,4,226,0,1,"""""","""""",6,"""""","""""","""""","""""","""""","BC,FS      ",BC FAST SCAN  ,4  ,25,  ,  ,  ,  ,0
11,"NR,35CP21",11,1,"""01051001""","""311C-2 CP21 (MBIT)""",051,3,227,0,1,"""""","""""",9,"""""","""""","""""","""""","""""","NR,35CP21  ",311C-2 CP21 (MBIT)  ,3  ,26,4  ,  ,  ,  ,0
12,"WH,2BF",12,1,"""01021001""","""BRK 2 BKR FAIL""",021,5,220,0,1,"""""","""""",10,"""""","""""","""""","""""","""""","WH,2BF     ",BRK 2 BKR FAIL  ,5  ,19,6  ,  ,  ,  ,0
13,"LY,TX1HI",13,1,"""01042001""","""LY TX1 TANK HI OIL""",042,7,211,0,1,"""""","""""",11,"""""","""""","""""","""""","""""","LY,TX1HI   ",LY TX1 TANK HI OIL  ,7  ,10,4  ,  ,  ,  ,0
14,"LY,35C111",14,1,"""01042002""","""LY TX1 2411 ALARMS COMM""",042,7,227,0,1,"""""","""""",12,"""""","""""","""""","""""","""""","LY,35C111  ",LY TX1 2411 ALARMS COMM  ,7  ,26,4  ,  ,  ,  ,0
15,"WH,DRD",15,1,"""01021002""","""DIFF PROT DISABLE SW STA""",021,5,206,0,1,"""""","""""",2,"""""","""""","""""","""""","""""","WH,DRD     ",DIFF PROT DISABLE SW STA  ,5  ,5,6  ,  ,  ,  ,0
16,"GC,1",16,2,"""01022001""","""GREEN COVE BKR 1""",022,4,202,0,1,"""""","""""",13,"""""","""""","""""","""""","""""","GC,1       ",GREEN COVE BKR 1  ,4  ,1,2  ,11  ,0  ,11  ,0
17,"GC,1R",17,2,"""01022002""","""GREEN COVE BKR 1 RECL""",022,4,205,0,1,"""""","""""",14,"""""","""""","""""","""""","""""","GC,1R      ",GREEN COVE BKR 1 RECL  ,4  ,4,2  ,12  ,0  ,12  ,0
18,"GC,1GT",18,2,"""01022003""","""GC 1 GRND TRIP BLOCK""",022,4,222,0,1,"""""","""""",15,"""""","""""","""""","""""","""""","GC,1GT     ",GC 1 GRND TRIP BLOCK  ,4  ,21,2  ,13  ,0  ,13  ,0
19,"GC,35C118",19,1,"""01022004""","""GC BKR 1 STA COM""",022,4,227,0,1,"""""","""""",16,"""""","""""","""""","""""","""""","GC,35C118  ",GC BKR 1 STA COM  ,4  ,26,2  ,  ,  ,  ,0
20,"GC,1LR",20,1,"""01022005""","""GC BKR 1 LOC/REM SW""",022,4,214,0,1,"""""","""""",17,"""""","""""","""""","""""","""""","GC,1LR     ",GC BKR 1 LOC/REM SW  ,4  ,13,2  ,  ,  ,  ,0
21,"GC,351SC1",21,1,"""01022006""","""GC BKR 1 351 SELF CHECK""",022,4,227,0,1,"""""","""""",18,"""""","""""","""""","""""","""""","GC,351SC1  ",GC BKR 1 351 SELF CHECK  ,4  ,26,3  ,  ,  ,  ,0
22,"GC,35C101",22,1,"""01022007""","""GC BKR 1 CTL COM""",022,4,227,0,1,"""""","""""",19,"""""","""""","""""","""""","""""","GC,35C101  ",GC BKR 1 CTL COM  ,4  ,26,3  ,  ,  ,  ,0
23,"PS,BY3P12",23,8,"""12002001""","""PSEUDO SWITCH""",002,10,216,0,1,"""""","""""",20,"""""","""""","""""","""""","""""","PS,BY3P12  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
24,"PS,S8W151",24,5,"""02055002""","""SB PSEUDO BREAKER""",055,1,216,0,1,"""""","""""",21,"""""","""""","""""","""""","""""","PS,S8W151  ",SB PSEUDO BREAKER  ,1  ,15,  ,  ,  ,  ,0
25,"RS,MET2CP",25,1,"""01027001""","""RS TX2 735 MET CPORT8""",027,4,227,0,1,"""""","""""",22,"""""","""""","""""","""""","""""","RS,MET2CP  ",RS TX2 735 MET CPORT8  ,4  ,26,7  ,  ,  ,  ,0
26,"RD,24T2SC",26,1,"""01036001""","""RD TX2 2411 FAIL""",036,4,227,0,1,"""""","""""",23,"""""","""""","""""","""""","""""","RD,24T2SC  ",RD TX2 2411 FAIL  ,4  ,26,9  ,  ,  ,  ,0
