Key,name,pDeviceInstance,record
"""03005001""",W543A,3249,1
"""03005002""",W543B,3250,2
"""03005003""",W543C,3251,3
"""03008001""",WNDSPD,3252,4
"""04038001""",RC,3253,5
"""04038002""",KV1AVG,3254,6
"""03017001""",P2,3255,7
"""04023001""",4TOT,3256,8
"""04045001""",RC,3253,9
"""04041001""",1TOT,3257,10
"""03015001""",P1,3258,11
"""03015002""",TX1W,3259,12
"""03015003""",MV1,3260,13
"""03015004""",TX1B,3261,14
"""03015005""",TX1C,3262,15
"""03015006""",TX1A,3263,16
"""03015007""",AV1,3264,17
"""03015008""",BV1,3265,18
"""03015009""",CV1,3266,19
"""03047001""",P,3267,20
"""03060001""",2PF,3268,21
"""04045002""",SOEPT,3269,22
"""03012001""",RAV1,3270,23
"""03012002""",RBV1,3271,24
"""03012003""",RCV1,3272,25
"""03012004""",TX1A,3263,26
"""03012005""",TX1B,3261,27
"""03012006""",TX1C,3262,28
"""03012007""",TX1W,3259,29
"""03012008""",PF1M,3273,30
"""03012009""",TX1FRQ,3274,31
"""03012010""",KVA1M,3275,32
"""03012011""",MV1,3260,33
"""03012012""",MV1-,3276,34
"""03012013""",DCV,3277,35
"""03012014""",1A,3278,36
"""03012015""",1B,3279,37
"""03012016""",1C,3280,38
"""03012017""",2A,3281,39
"""03012018""",2B,3282,40
"""03012019""",2C,3283,41
"""03012020""",3A,3284,42
"""03012021""",3B,3285,43
"""03012022""",3C,3286,44
"""03012023""",LTC1,3287,45
"""04012001""",CALI,3288,46
"""04012002""",CDY,3289,47
"""04012003""",CHR,3290,48
"""04012004""",CMT,3291,49
"""04012005""",MUL,3292,50
"""03012024""",P1,3258,51
"""04012006""",PDY,3293,52
"""04012007""",PFAVG,3294,53
"""04012008""",PHR,3295,54
"""04012009""",PMT,3296,55
"""04012010""",SOEPT,3269,56
"""04012011""",STAGE,3297,57
"""03001001""",TX1TMP,3298,58
"""03021001""",2KW,3299,59
"""03031001""",RBV2,3300,60
"""03015010""",KWPHR1,3301,61
"""03052001""",6144W,3302,62
"""03064001""",KWPHR1,3301,63
"""03039001""",KWPHR1,3301,64
"""03032001""",KWPHR1,3301,65
"""03021002""",2C,3283,66
"""03011001""",T2HST2,3303,67
"""03011002""",TX2ABT,3304,68
"""03023001""",W6205B,3305,69
"""04036001""",STAGE2,3306,70
"""04067001""",RBTAP2,3307,71
"""03011003""",5A,3308,72
"""03011004""",5B,3309,73
"""03011005""",5C,3310,74
"""04031001""",CALI2,3311,75
"""04033001""",2TOT,3312,76
"""04033002""",3TOT,3313,77
"""03033001""",AV1,3264,78
"""03033002""",BV1,3265,79
"""03033003""",CV1,3266,80
"""03011006""",4KW,3314,81
"""03025001""",RATAP,3315,82
"""03011007""",3A,3284,83
"""03011008""",3B,3285,84
"""03011009""",4A,3316,85
"""03011010""",4B,3317,86
"""03011011""",4C,3318,87
"""04016001""",HRTBT4,3319,88
"""04016002""",RC,3253,89
"""03017002""",RAV1,3270,90
"""03017003""",RBV1,3271,91
"""03017004""",RCV1,3272,92
"""03017005""",TX1A,3263,93
"""03017006""",TX1B,3261,94
"""03017007""",TX1C,3262,95
"""03017008""",TX1W,3259,96
"""03031002""",RCV2,3320,97
"""04017001""",PMT2,3321,98
"""04017002""",CMTT,3322,99
"""03017009""",LTC1,3287,100
"""03017010""",1A,3278,101
"""03017011""",1B,3279,102
"""03017012""",1C,3280,103
"""03017013""",2A,3281,104
"""03017014""",2B,3282,105
"""03017015""",2C,3283,106
"""03017016""",3A,3284,107
"""03017017""",3B,3285,108
"""03017018""",3C,3286,109
"""03017019""",DCV,3277,110
"""03017020""",RAV2,3323,111
"""03017021""",RBV2,3300,112
"""03017022""",RCV2,3320,113
"""03017023""",TX2A,3324,114
"""03017024""",TX2B,3325,115
"""03017025""",TX2C,3326,116
"""03017026""",TX2W,3327,117
"""03008002""",2C,3283,118
"""03042001""",PF1M,3273,119
"""04053001""",SEMPK,3328,120
"""03011012""",TX1W,3259,121
"""03038001""",T,3329,122
"""03033004""",RCTAP1,3330,123
"""03070001""",TX2FRQ,3331,124
"""03045001""",LTC1,3287,125
"""04027001""",CHRT,3332,126
"""04023002""",TUW,3333,127
"""03011013""",RBV2,3300,128
"""03011014""",RCV2,3320,129
"""03011015""",TX2A,3324,130
"""04011001""",WT,3334,131
"""04037001""",W,3335,132
"""04017003""",PHRT,3336,133
"""03011016""",MV1,3260,134
"""03011017""",2A,3281,135
"""03011018""",2B,3282,136
"""03011019""",2C,3283,137
"""03007001""",6W55MV,3337,138
"""03039002""",4KW,3314,139
"""04048001""",PEAK,3338,140
"""04053002""",PEAK,3338,141
"""04040001""",SOEPT,3269,142
"""04012012""",KVAAVG,3339,143
"""03043001""",P1,3258,144
"""03073001""",DCV,3277,145
"""04058001""",MOBTXW,3340,146
"""03019001""",T1HST1,3341,147
"""03038002""",WNDSPD,3252,148
"""99055001""",PF,3342,149
"""03019002""",T1HST2,3343,150
"""03023002""",KVA2M,3344,151
"""04038003""",CALI1,3345,152
"""04004001""",PDY,3293,153
"""04020001""",SOEPT,3269,154
"""04049001""",PT,3346,155
"""04056001""",CMT,3291,156
"""03056001""",1A,3278,157
"""04046001""",PDY,3293,158
"""04053003""",14MUL,3347,159
"""04007001""",PDYT,3348,160
"""03010001""",2PF,3268,161
"""04017004""",PT,3346,162
"""03031003""",P1,3258,163
"""03006001""",RAV1,3270,164
"""03010002""",LTC1,3287,165
"""03025002""",DCV,3277,166
"""03045002""",P1,3258,167
"""03008003""",FREQ,3349,168
"""03008004""",1PF,3350,169
"""03008005""",PFM,3351,170
"""03010003""",1PF,3350,171
"""03022001""",TX1W,3259,172
"""03022002""",2A,3281,173
"""03022003""",2B,3282,174
"""03022004""",2C,3283,175
"""04007002""",MUL2,3352,176
"""04007003""",6W57AV,3353,177
"""04028001""",PFAVG,3294,178
"""03008006""",2PF,3268,179
"""03022005""",3B,3285,180
"""03023003""",W6208C,3354,181
"""03046001""",AV,3355,182
"""03046002""",BV,3356,183
"""03046003""",CV,3357,184
"""03004001""",LTC,3358,185
"""03027001""",KWPHR1,3301,186
"""04067002""",CV,3357,187
"""03058001""",BT2MVA,3359,188
"""03058002""",BCT3MW,3360,189
"""03058003""",BCT3MV,3361,190
"""03058004""",126,3362,191
"""03058005""",127,3363,192
"""03058006""",125,3364,193
"""03058007""",132,3365,194
"""04023003""",1TOT,3257,195
"""04023004""",2TOT,3312,196
"""04023005""",3TOT,3313,197
"""03058008""",96,3366,198
"""03058009""",101,3367,199
"""04007004""",TX1W,3259,200
"""04023006""",CALI1,3345,201
"""03007002""",6W57C,3368,202
"""03007003""",6W57W,3369,203
