*
	41	ANALOG_CONFIG	0	9
*	KEY	pDeviceInstance
	1	"03005001"	3062
	2	"03005002"	3063
	3	"03005003"	3064
	4	"03008001"	3065
	5	"04038001"	3066
	6	"04038002"	3067
	7	"03017001"	3068
	8	"04023001"	3069
	9	"04030001"	3066
	10	"04041001"	3070
	11	"03015001"	3071
	12	"03015002"	3072
	13	"03015003"	3073
	14	"03015004"	3074
	15	"03015005"	3075
	16	"03015006"	3076
	17	"03015007"	3077
	18	"03015008"	3078
	19	"03015009"	3079
	20	"03047001"	3071
	21	"03059001"	3080
	22	"04066001"	3081
	23	"03045001"	3082
	24	"03012001"	3083
	25	"03012002"	3084
	26	"03012003"	3085
	27	"03012004"	3076
	28	"03012005"	3074
	29	"03012006"	3075
	30	"03012007"	3072
	31	"03012008"	3086
	32	"03012009"	3087
	33	"03012010"	3088
	34	"03012011"	3073
	35	"03012012"	3089
	36	"03012013"	3090
	37	"03012014"	3091
	38	"03012015"	3092
	39	"03012016"	3093
	40	"03012017"	3094
	41	"03012018"	3095
	42	"03012019"	3096
	43	"03012020"	3097
	44	"03012021"	3098
	45	"03012022"	3099
	46	"03012023"	3100
	47	"04012001"	3101
	48	"04012002"	3102
	49	"04012003"	3103
	50	"04012004"	3104
	51	"04012005"	3105
	52	"03012024"	3071
	53	"04012006"	3106
	54	"04012007"	3107
	55	"04012008"	3108
	56	"04012009"	3109
	57	"04012010"	3110
	58	"04012011"	3111
	59	"03001001"	3112
	60	"03021001"	3113
	61	"03031001"	3114
	62	"03015010"	3115
	63	"03052001"	3116
	64	"03062001"	3115
	65	"03039001"	3115
	66	"03032001"	3115
	67	"03021002"	3096
	68	"03011001"	3117
	69	"03011002"	3118
	70	"03023001"	3119
	71	"04036001"	3120
	72	"04065001"	3121
	73	"03011003"	3122
	74	"03011004"	3123
	75	"03011005"	3124
	76	"04031001"	3125
	77	"04033001"	3126
	78	"04033002"	3127
	79	"03033001"	3077
	80	"03033002"	3078
	81	"03033003"	3079
	82	"03011006"	3128
	83	"03025001"	3129
	84	"03011007"	3097
	85	"03011008"	3098
	86	"03011009"	3130
	87	"03011010"	3131
	88	"03011011"	3132
	89	"04016001"	3133
	90	"04016002"	3066
	91	"03017002"	3134
	92	"03017003"	3135
	93	"03017004"	3136
	94	"03017005"	3137
	95	"03017006"	3138
	96	"03017007"	3139
	97	"03017008"	3140
	98	"03031002"	3141
	99	"04017001"	3142
	100	"04017002"	3143
	101	"03017009"	3144
	102	"03017010"	3091
	103	"03017011"	3092
	104	"03017012"	3093
	105	"03017013"	3094
	106	"03017014"	3095
	107	"03017015"	3096
	108	"03017016"	3097
	109	"03017017"	3098
	110	"03017018"	3099
	111	"03017019"	3090
	112	"03017020"	3145
	113	"03017021"	3114
	114	"03017022"	3141
	115	"03017023"	3146
	116	"03017024"	3147
	117	"03017025"	3148
	118	"03017026"	3149
	119	"03008002"	3096
	120	"03042001"	3086
	121	"04053001"	3150
	122	"03011012"	3140
	123	"03038001"	3151
	124	"03033004"	3152
	125	"03068001"	3153
	126	"03045002"	3071
	127	"04027001"	3154
	128	"04045001"	3072
	129	"03011013"	3114
	130	"03011014"	3141
	131	"03011015"	3146
	132	"04011001"	3155
	133	"04037001"	3072
	134	"04017003"	3156
	135	"03011016"	3157
	136	"03011017"	3094
	137	"03011018"	3095
	138	"03011019"	3096
	139	"03007001"	3158
	140	"03039002"	3128
	141	"04048001"	3159
	142	"04053002"	3159
	143	"04040001"	3110
	144	"04012012"	3160
	145	"03043001"	3071
	146	"03071001"	3090
	147	"04058001"	3161
	148	"03019001"	3162
	149	"03038002"	3065
	150	"99055001"	3163
	151	"03019002"	3164
	152	"03023002"	3165
	153	"04038003"	3166
	154	"04004001"	3106
	155	"04020001"	3110
	156	"04049001"	3167
