* 
	5	ANALOG	0	1	3	4	5	10	23	24	42	77,4	77,1	77,0	78,0	78,1	78,4	91,1	91,2	91,3	91,4	91,5	66
*	record	OrderNo	Type	Key	Name	Stn	AOR	pUNIT	pScale EU_Hi	AlarmGrp	77,4	77,1	77,0	78,0	78,1	78,4	NomPairInactive91,1	91,2	91,3	91,4	91,5	ICAddress
	1	1	1	"03005001"	"AB  W543 A AMPS BKR TRIP"	005	7	1	1.0	1	470  	450  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	2	2	1	"03005002"	"AB  W543 B AMPS BKR TRIP"	005	7	1	1.0	1	470  	450  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	3	3	1	"03005003"	"AB  W543 C AMPS BKR TRIP"	005	7	1	1.0	1	470  	450  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	4	4	1	"03008001"	"SG WIND SPEED"	008	7	2	100.0	1	99  	74  	35  	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	5	5	2	"04038001"	"CHANNEL ONE RETRY COUNT"	038	1	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	6	6	2	"04038002"	"KH TX1 KVA AVERAGE"	038	1	3	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	7	7	1	"03017001"	"ALACHUA TX2 ACCUMULATOR"	017	5	3	3.6234	1	999999	999996	999995	1	-5  	-10  	0.0	0.0	0.0	1.0	1.0	
	8	8	2	"04023001"	"LC BRK 4 AMP TOTAL"	023	3	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	9	9	2	"04030001"	"CHANNEL SIX RETRY COUNT"	030	7	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	10	10	2	"04041001"	"ME BRK 1 AMP TOTAL"	041	10	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	11	11	1	"03015001"	"BW PULSE ACCUMULATOR 1"	015	4	3	4.8	1	999999	999996	999995	1	-2  	-4  	0.0	0.0	0.0	1.0	1.0	
	12	12	1	"03015002"	"BW TX1 WATTS"	015	4	3	65504.0	1	28000  	26000  	24000  	-10	-500  	-1000  	0.0	0.0	0.0	1.0	1.0	
	13	13	1	"03015003"	"BW TX1 VARS LAG"	015	4	4	65504.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	14	14	1	"03015004"	"BW TX1 B AMPS"	015	4	1	3275.2	1	1235  	1200  	1150  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	15	15	1	"03015005"	"BW TX1 C AMPS"	015	4	1	3275.2	1	1235  	1200  	1150  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	16	16	1	"03015006"	"BW TX1 A AMPS"	015	4	1	3275.2	1	1235  	1200  	1150  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	17	17	1	"03015007"	"BW TX1 A PH BUS VOLTS"	015	4	5	204.7	1	145  	142  	140  	115	112  	110  	0.0	0.0	0.0	1.0	1.0	
	18	18	1	"03015008"	"BW TX1 B PH BUS VOLTS"	015	4	5	204.7	1	145  	142  	140  	115	112  	110  	0.0	0.0	0.0	1.0	1.0	
	19	19	1	"03015009"	"BW TX1 C PH BUS VOLTS"	015	4	5	204.7	1	145  	142  	140  	115	112  	110  	0.0	0.0	0.0	1.0	1.0	
