record,OrderNo,Type,Name_match,Key,Name,Stn,AOR,"77,0","77,1","77,2","77,3","77,4","78,0","78,1","78,2","78,3","78,4","91,1","91,2","91,3","91,4","91,5",pScale EU_Hi,AlarmGrp,ICAddress,pUNIT,RawCountFormat
1,1,1,"AB,W543A   ","""03005001""","""AB  W543 A AMPS BKR TRIP""",005,7,400  ,450  ,0,0,470  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
2,2,1,"AB,W543B   ","""03005002""","""AB  W543 B AMPS BKR TRIP""",005,7,400  ,450  ,0,0,470  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
3,3,1,"AB,W543C   ","""03005003""","""AB  W543 C AMPS BKR TRIP""",005,7,400  ,450  ,0,0,470  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
4,4,1,"SG,WNDSPD  ","""03008001""","""SG WIND SPEED""",008,7,35  ,74  ,0,0,99  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,100.0,1,,2,1
5,5,2,"KH,RC      ","""04038001""","""CHANNEL ONE RETRY COUNT""",038,1,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
6,6,2,"KH,KV1AVG  ","""04038002""","""KH TX1 KVA AVERAGE""",038,1,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
7,7,1,"AL,P2      ","""03017001""","""ALACHUA TX2 ACCUMULATOR""",017,5,999995,999996,0,0,999999,1,-5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,3.6234,1,,3,1
8,8,2,"LC,4TOT    ","""04023001""","""LC BRK 4 AMP TOTAL""",023,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
9,9,2,"SS,RC      ","""04045001""","""CHANNEL SIX RETRY COUNT""",045,7,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
10,10,2,"ME,1TOT    ","""04041001""","""ME BRK 1 AMP TOTAL""",041,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
11,11,1,"BW,P1      ","""03015001""","""BW PULSE ACCUMULATOR 1""",015,4,999995,999996,0,0,999999,1,-2  ,0,0,-4  ,0.0,0.0,0.0,1.0,1.0,4.8,1,,3,1
12,12,1,"BW,TX1W    ","""03015002""","""BW TX1 WATTS""",015,4,24000  ,26000  ,0,0,28000  ,-10,-500  ,0,0,-1000  ,0.0,0.0,0.0,1.0,1.0,65504.0,1,,3,1
13,13,1,"BW,MV1     ","""03015003""","""BW TX1 VARS LAG""",015,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
14,14,1,"BW,TX1B    ","""03015004""","""BW TX1 B AMPS""",015,4,1150  ,1200  ,0,0,1235  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,3275.2,1,,1,1
15,15,1,"BW,TX1C    ","""03015005""","""BW TX1 C AMPS""",015,4,1150  ,1200  ,0,0,1235  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,3275.2,1,,1,1
16,16,1,"BW,TX1A    ","""03015006""","""BW TX1 A AMPS""",015,4,1150  ,1200  ,0,0,1235  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,3275.2,1,,1,1
17,17,1,"BW,AV1     ","""03015007""","""BW TX1 A PH BUS VOLTS""",015,4,140  ,142  ,0,0,145  ,115,112  ,0,0,110  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
18,18,1,"BW,BV1     ","""03015008""","""BW TX1 B PH BUS VOLTS""",015,4,140  ,142  ,0,0,145  ,115,112  ,0,0,110  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
19,19,1,"BW,CV1     ","""03015009""","""BW TX1 C PH BUS VOLTS""",015,4,140  ,142  ,0,0,145  ,115,112  ,0,0,110  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
20,20,1,"ES,P       ","""03047001""","""ES PULSE ACCUMULATOR""",047,1,999995,999996,0,0,999999,1,-1  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,4.8,1,,3,1
21,21,1,"FA,2PF     ","""03060001""","""FA FDR 2 POWER FACTOR""",060,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
22,22,2,"SS,SOEPT   ","""04045002""","""""",045,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
23,23,1,"LA,RAV1    ","""03012001""","""LA TX1 REG A VOLTS""",012,4,127.5  ,129  ,0,0,150  ,119.5,118.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
24,24,1,"LA,RBV1    ","""03012002""","""LA TX1 REG B VOLTS""",012,4,127.5  ,129  ,0,0,150  ,119.5,118.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
25,25,1,"LA,RCV1    ","""03012003""","""LA TX1 REG C VOLTS""",012,4,127.5  ,129  ,0,0,150  ,119.5,118.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
26,26,1,"LA,TX1A    ","""03012004""","""LA TX1 LS A AMPS""",012,4,800  ,825  ,0,0,850  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1637.6,1,,1,1
27,27,1,"LA,TX1B    ","""03012005""","""LA TX1 LS B AMPS""",012,4,800  ,825  ,0,0,850  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1637.6,1,,1,1
28,28,1,"LA,TX1C    ","""03012006""","""LA TX1 LS C AMPS""",012,4,800  ,825  ,0,0,850  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1637.6,1,,1,1
29,29,1,"LA,TX1W    ","""03012007""","""LA TX1 WATTS""",012,4,29000  ,31000  ,0,0,33000  ,-10,-500  ,0,0,-1000  ,0.0,0.0,0.0,1.0,1.0,65504.0,1,,3,1
30,30,1,"LA,PF1M    ","""03012008""","""LA TX1 POWER FACTOR""",012,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
31,31,1,"LA,TX1FRQ  ","""03012009""","""LA TX1 FREQUENCY""",012,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,7,1
32,32,1,"LA,KVA1M   ","""03012010""","""LA TX1 KVA METER""",012,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,8,1
33,33,1,"LA,MV1     ","""03012011""","""LA TX1 VARS LAG""",012,4,4000  ,5000  ,0,0,5400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
34,34,1,"LA,MV1-    ","""03012012""","""LA TX1 VARS LEAD""",012,4,4000  ,5000  ,0,0,5400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
35,35,1,"LA,DCV     ","""03012013""","""LA DC VOLTS""",012,4,137  ,138.5  ,0,0,143  ,128.5,126.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,149.9836,1,,5,1
36,36,1,"LA,1A      ","""03012014""","""LA BRK 1 A AMPS BKR TRIP""",012,4,380  ,430  ,0,0,480  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
37,37,1,"LA,1B      ","""03012015""","""LA BRK 1 B AMPS BKR TRIP""",012,4,380  ,430  ,0,0,480  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
38,38,1,"LA,1C      ","""03012016""","""LA BRK 1 C AMPS BKR TRIP""",012,4,380  ,430  ,0,0,480  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
39,39,1,"LA,2A      ","""03012017""","""LA BRK 2 A AMPS BKR TRIP""",012,4,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
40,40,1,"LA,2B      ","""03012018""","""LA BRK 2 B AMPS BKR TRIP""",012,4,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
41,41,1,"LA,2C      ","""03012019""","""LA BRK 2 C AMPS BKR TRIP""",012,4,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
