Name  ,Desc  ,Zones  ,Disp_Alog  ,Disp_Stat  ,Disp_Text  ,Disp_Alms  ,Disp_Ovrw  ,Class_Alog  ,Class_Stat  ,Class_Text  ,Class_Alms  ,Train  
DI  ,DR INLET DISTRIBUTION  ,3  ,DIANSY  ,DISTSY  ,DITXSY  ,DIALSY  ,DI  ,116  ,116  ,116  ,116  ,0  
BY  ,BRICKYARD SUBSTATION  ,4  ,BYANSY  ,BYSTSY  ,BYTXSY  ,BYALSY  ,BY  ,117  ,117  ,117  ,117  ,0  
WS  ,WORTHINGTON SPRINGS DIST  ,5  ,WSANSY  ,WSSTSY  ,WSTXSY  ,WSALSY  ,WS  ,149  ,149  ,149  ,149  ,0  
WA  ,WALDO SUBSTATION  ,1  ,WAANSY  ,WASTSY  ,WATXSY  ,WAALSY  ,WA  ,156  ,156  ,156  ,156  ,0  
AB  ,ASTOR SWITCHING  ,1  ,ABANSY  ,ABSTSY  ,ABTXSY  ,ABALSY  ,AB  ,75  ,75  ,75  ,75  ,0  
FW  ,FT WHITE DIST SUB  ,5  ,FWANSY  ,FWSTSY  ,FWTXSY  ,FWALSY  ,FW  ,120  ,120  ,120  ,120  ,0  
BC  ,BLACK CREEK TRANSMISSION  ,3  ,BCANSY  ,BCSTSY  ,BCTXSY  ,BCALSY  ,BC  ,76  ,76  ,76  ,76  ,0  
SG  ,SPRING GARDEN  ,7  ,SGANSY  ,SGSTSY  ,SGTXSY  ,SGALSY  ,SG  ,150  ,150  ,150  ,150  ,0  
FM  ,FT MCCOY DISTRIBUTION  ,7  ,FMANSY  ,FMSTSY  ,FMTXSY  ,FMALSY  ,FM  ,141  ,141  ,141  ,141  ,0  
CA  ,CARA DISTRIBUTION  ,5  ,CAANSY  ,CASTSY  ,CATXSY  ,CAALSY  ,CA  ,144  ,144  ,144  ,144  ,0  
MI  ,MIDDLEBURG DISTRIBUTION  ,3  ,MIANSY  ,MISTSY  ,MITXSY  ,MIALSY  ,MI  ,105  ,105  ,105  ,105  ,0  
LA  ,LAKE ASBURY DISTRIBUTION  ,1 2 3 4 5 6 7 8  ,LAANSY  ,LASTSY  ,LATXSY  ,LAALSY  ,LA  ,115  ,115  ,115  ,115  ,0  
