QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,IP,DNP Address,DNP Point #,,
30116,ME,4BF,ME BKR 4 BKR FAIL,1,11,6,8,,,,,STATUS,ME4BFSTATUS,172.16.3.81,1,107,,
30224,ME,1BF,ME BKR 1 BKR FAIL,1,11,6,5,,,,,STATUS,ME1BFSTATUS,172.16.3.81,1,71,,
30227,ME,3BF,ME BKR 3 BKR FAIL,1,11,6,7,,,,,STATUS,ME3BFSTATUS,172.16.3.81,1,95,,
30705,ME,1,ME FEEDER BKR 1,1,11,0,0,,,,,STATUS,ME1STATUS,172.16.3.81,1,66,,                         
30705,ME,1,BRK #1 OPEN,1,11,,,,0,1,,RELAY,ME1RELAY,172.16.3.81,1,18,,
30705,ME,1,BRK #1 CLOSE,1,11,,,,0,0,,RELAY,ME1RELAY,172.16.3.81,1,18,,
30706,ME,2,ME FEEDER BKR 2,1,11,0,4,,,,,STATUS,ME2STATUS,172.16.3.81,1,78,,
30706,ME,2,BRK #2 TRIP,1,11,,,,4,1,,RELAY,ME2RELAY,172.16.3.81,1,23,,
30706,ME,2,BRK #2 CLOSE,1,11,,,,4,0,,RELAY,ME2RELAY,172.16.3.81,1,23,,
30707,ME,4,ME FEEDER BKR 4,1,11,0,12,,,,,STATUS,ME4STATUS,172.16.3.81,1,102,,
30707,ME,4,BRK #4 TRIP,1,11,,,,12,1,,RELAY,ME4RELAY,172.16.3.81,1,33,,
30707,ME,4,BRK #4 CLOSE,1,11,,,,12,0,,RELAY,ME4RELAY,172.16.3.81,1,33,,
30708,ME,1R,ME BKR 1 RECLOSER,1,11,0,1,,,,,STATUS,ME1RSTATUS,172.16.3.81,1,67,,
30708,ME,1R,BKR #1 RECLOSE OFF,1,11,,,,1,1,,RELAY,ME1RRELAY,172.16.3.81,1,19,,
30708,ME,1R,BKR #1 RECLOSE ON,1,11,,,,1,0,,RELAY,ME1RRELAY,172.16.3.81,1,19,,
30709,ME,2R,ME BKR 2 RECLOSER,1,11,0,5,,,,,STATUS,ME2RSTATUS,172.16.3.81,1,79,,
30709,ME,2R,BRK #2 RECLOSE OFF,1,11,,,,5,1,,RELAY,ME2RRELAY,172.16.3.81,1,24,,
30709,ME,2R,BRK #2 RECLOSE ON,1,11,,,,5,0,,RELAY,ME2RRELAY,172.16.3.81,1,24,,
30710,ME,4R,ME BKR 4 RECLOSER,1,11,0,13,,,,,STATUS,ME4RSTATUS,172.16.3.81,1,103,,
30710,ME,4R,BKR 4 RECLOSE OFF,1,11,,,,13,1,,RELAY,ME4RRELAY,172.16.3.81,1,34,,
