Point ID,Station,Pnuemonic,Description,COM,RTU,Pg,Status P,Analog P,Relay P,Value,Scale,Type,Helper Column,IP Address,DNPAddress,DNP Point,,
32565,DB,1,DB FEEDER BKR 1,3,7,0,0,,,,,STATUS,DB1STATUS,172.17.4.81,1,66,,
32565,DB,1,BKR 1 TRIP,3,7,,,,1,1,,RELAY,DB1RELAY,172.17.4.81,1,18,,
32565,DB,1,BKR 1 CLOSE,3,7,,,,1,0,,RELAY,DB1RELAY,172.17.4.81,1,18,,
32567,DB,2,DB FEEDER BKR 2,3,7,0,1,,,,,STATUS,DB2STATUS,172.17.4.81,1,78,,
32567,DB,2,BKR 2 TRIP,3,7,,,,2,1,,RELAY,DB2RELAY,172.17.4.81,1,23,,
32567,DB,2,BKR 2 CLOSE,3,7,,,,2,0,,RELAY,DB2RELAY,172.17.4.81,1,23,,
32593,DB,3,DB FEEDER BKR 3,3,7,0,2,,,,,STATUS,DB3STATUS,172.17.4.81,1,90,,
32593,DB,3,BKR 3 TRIP,3,7,,,,3,1,,RELAY,DB3RELAY,172.17.4.81,1,28,,
32593,DB,3,BKR 3 CLOSE,3,7,,,,3,0,,RELAY,DB3RELAY,172.17.4.81,1,28,,
32595,DB,4,DB FEEDER BKR 4,3,7,0,3,,,,,STATUS,DB4STATUS,172.17.4.82,1,66,,
32595,DB,4,BKR 4 TRIP,3,7,,,,4,1,,RELAY,DB4RELAY,172.17.4.82,1,18,,
32595,DB,4,BKR 4 CLOSE,3,7,,,,4,0,,RELAY,DB4RELAY,172.17.4.82,1,18,,
32596,DB,5,DB FEEDER BKR 5,3,7,0,4,,,,,STATUS,DB5STATUS,172.17.4.82,1,78,,
32596,DB,5,BKR 5 TRIP,3,7,,,,5,1,,RELAY,DB5RELAY,172.17.4.82,1,23,,
32596,DB,5,BKR 5 CLOSE,3,7,,,,5,0,,RELAY,DB5RELAY,172.17.4.82,1,23,,
32614,DB,6,DB FEEDER BKR 6,3,7,0,5,,,,,STATUS,DB6STATUS,172.17.4.82,1,90,,
32614,DB,6,BKR 6 TRIP,3,7,,,,6,1,,RELAY,DB6RELAY,172.17.4.82,1,28,,
32614,DB,6,BKR 6 CLOSE,3,7,,,,6,0,,RELAY,DB6RELAY,172.17.4.82,1,28,,
