Desc  ,Name_Analog_Source,Zones  ,Alm_preHi  ,Alm_emgHi  ,Alm_unrHi  ,Alm_preLo  ,Alm_emgLo  ,Alm_unrLo  ,EU_Hi  ,EuText  ,record,OrderNo,Type,Key,Name,Stn,AOR,pUNIT,pScale EU_Hi,AlarmGrp,RawCountFormat,"77,4","77,1","77,0","78,0","78,1","78,4","91,1","91,2","91,3","91,4","91,5",ICAddress
AB  W543 A AMPS BKR TRIP  ,"AB,W543A   ",7  ,400  ,450  ,470  ,-10  ,-20  ,-30  ,1.0,AMPS  ,1,1,1,"""03005001""","""AB  W543 A AMPS BKR TRIP""",005,7,1,1.0,1,1,470  ,450  ,400  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
AB  W543 B AMPS BKR TRIP  ,"AB,W543B   ",7  ,400  ,450  ,470  ,-10  ,-20  ,-30  ,1.0,AMPS  ,2,2,1,"""03005002""","""AB  W543 B AMPS BKR TRIP""",005,7,1,1.0,1,1,470  ,450  ,400  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
AB  W543 C AMPS BKR TRIP  ,"AB,W543C   ",7  ,400  ,450  ,470  ,-10  ,-20  ,-30  ,1.0,AMPS  ,3,3,1,"""03005003""","""AB  W543 C AMPS BKR TRIP""",005,7,1,1.0,1,1,470  ,450  ,400  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
SG WIND SPEED  ,"SG,WNDSPD  ",7  ,35  ,74  ,99  ,  ,  ,  ,100.0,MPH  ,4,4,1,"""03008001""","""SG WIND SPEED""",008,7,2,100.0,1,1,99  ,74  ,35  ,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
CHANNEL ONE RETRY COUNT  ,"KH,RC      ",1  ,  ,  ,  ,  ,  ,  ,1.0,  ,5,5,2,"""04038001""","""CHANNEL ONE RETRY COUNT""",038,1,"""""",1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
KH TX1 KVA AVERAGE  ,"KH,KV1AVG  ",1  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,6,6,2,"""04038002""","""KH TX1 KVA AVERAGE""",038,1,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
ALACHUA TX2 ACCUMULATOR  ,"AL,P2      ",5  ,  ,  ,  ,1  ,-5  ,-10  ,3.6234,WATTS  ,7,7,1,"""03017001""","""ALACHUA TX2 ACCUMULATOR""",017,5,3,3.6234,1,1,999999,999996,999995,1,-5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
LC BRK 4 AMP TOTAL  ,"LC,4TOT    ",3  ,  ,  ,  ,  ,  ,  ,1.0,AMPS  ,8,8,2,"""04023001""","""LC BRK 4 AMP TOTAL""",023,3,1,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
CHANNEL SIX RETRY COUNT  ,"SS,RC      ",7  ,  ,  ,  ,  ,  ,  ,1.0,  ,9,9,2,"""04045001""","""CHANNEL SIX RETRY COUNT""",045,7,"""""",1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
ME BRK 1 AMP TOTAL  ,"ME,1TOT    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,AMPS  ,10,10,2,"""04041001""","""ME BRK 1 AMP TOTAL""",041,10,1,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BW PULSE ACCUMULATOR 1  ,"BW,P1      ",4  ,  ,  ,  ,1  ,-2  ,-4  ,4.8,WATTS  ,11,11,1,"""03015001""","""BW PULSE ACCUMULATOR 1""",015,4,3,4.8,1,1,999999,999996,999995,1,-2  ,-4  ,0.0,0.0,0.0,1.0,1.0,
BW TX1 WATTS  ,"BW,TX1W    ",4  ,24000  ,26000  ,28000  ,-10  ,-500  ,-1000  ,65504.0,WATTS  ,12,12,1,"""03015002""","""BW TX1 WATTS""",015,4,3,65504.0,1,1,28000  ,26000  ,24000  ,-10,-500  ,-1000  ,0.0,0.0,0.0,1.0,1.0,
BW TX1 VARS LAG  ,"BW,MV1     ",4  ,  ,  ,  ,  ,  ,  ,65504.0,VARS  ,13,13,1,"""03015003""","""BW TX1 VARS LAG""",015,4,4,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BW TX1 B AMPS  ,"BW,TX1B    ",4  ,1150  ,1200  ,1235  ,-10  ,-20  ,-30  ,3275.2,AMPS  ,14,14,1,"""03015004""","""BW TX1 B AMPS""",015,4,1,3275.2,1,1,1235  ,1200  ,1150  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BW TX1 C AMPS  ,"BW,TX1C    ",4  ,1150  ,1200  ,1235  ,-10  ,-20  ,-30  ,3275.2,AMPS  ,15,15,1,"""03015005""","""BW TX1 C AMPS""",015,4,1,3275.2,1,1,1235  ,1200  ,1150  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BW TX1 A AMPS  ,"BW,TX1A    ",4  ,1150  ,1200  ,1235  ,-10  ,-20  ,-30  ,3275.2,AMPS  ,16,16,1,"""03015006""","""BW TX1 A AMPS""",015,4,1,3275.2,1,1,1235  ,1200  ,1150  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BW TX1 A PH BUS VOLTS  ,"BW,AV1     ",4  ,140  ,142  ,145  ,115  ,112  ,110  ,204.7,VOLTS  ,17,17,1,"""03015007""","""BW TX1 A PH BUS VOLTS""",015,4,5,204.7,1,1,145  ,142  ,140  ,115,112  ,110  ,0.0,0.0,0.0,1.0,1.0,
BW TX1 B PH BUS VOLTS  ,"BW,BV1     ",4  ,140  ,142  ,145  ,115  ,112  ,110  ,204.7,VOLTS  ,18,18,1,"""03015008""","""BW TX1 B PH BUS VOLTS""",015,4,5,204.7,1,1,145  ,142  ,140  ,115,112  ,110  ,0.0,0.0,0.0,1.0,1.0,
BW TX1 C PH BUS VOLTS  ,"BW,CV1     ",4  ,140  ,142  ,145  ,115  ,112  ,110  ,204.7,VOLTS  ,19,19,1,"""03015009""","""BW TX1 C PH BUS VOLTS""",015,4,5,204.7,1,1,145  ,142  ,140  ,115,112  ,110  ,0.0,0.0,0.0,1.0,1.0,
ES PULSE ACCUMULATOR  ,"ES,P       ",1  ,  ,  ,  ,1  ,-1  ,-10  ,4.8,WATTS  ,20,20,1,"""03047001""","""ES PULSE ACCUMULATOR""",047,1,3,4.8,1,1,999999,999996,999995,1,-1  ,-10  ,0.0,0.0,0.0,1.0,1.0,
FA FDR 2 POWER FACTOR  ,"FA,2PF     ",5  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,21,21,1,"""03060001""","""FA FDR 2 POWER FACTOR""",060,5,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
  ,"SS,SOEPT   ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,  ,22,22,2,"""04045002""","""""",045,10,"""""",1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA TX1 REG A VOLTS  ,"LA,RAV1    ",4  ,127.5  ,129  ,150  ,119.5  ,118.5  ,-10  ,204.7,VOLTS  ,23,23,1,"""03012001""","""LA TX1 REG A VOLTS""",012,4,5,204.7,1,1,150  ,129  ,127.5  ,119.5,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
LA TX1 REG B VOLTS  ,"LA,RBV1    ",4  ,127.5  ,129  ,150  ,119.5  ,118.5  ,-10  ,204.7,VOLTS  ,24,24,1,"""03012002""","""LA TX1 REG B VOLTS""",012,4,5,204.7,1,1,150  ,129  ,127.5  ,119.5,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
LA TX1 REG C VOLTS  ,"LA,RCV1    ",4  ,127.5  ,129  ,150  ,119.5  ,118.5  ,-10  ,204.7,VOLTS  ,25,25,1,"""03012003""","""LA TX1 REG C VOLTS""",012,4,5,204.7,1,1,150  ,129  ,127.5  ,119.5,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
LA TX1 LS A AMPS  ,"LA,TX1A    ",4  ,800  ,825  ,850  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,26,26,1,"""03012004""","""LA TX1 LS A AMPS""",012,4,1,1637.6,1,1,850  ,825  ,800  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA TX1 LS B AMPS  ,"LA,TX1B    ",4  ,800  ,825  ,850  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,27,27,1,"""03012005""","""LA TX1 LS B AMPS""",012,4,1,1637.6,1,1,850  ,825  ,800  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA TX1 LS C AMPS  ,"LA,TX1C    ",4  ,800  ,825  ,850  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,28,28,1,"""03012006""","""LA TX1 LS C AMPS""",012,4,1,1637.6,1,1,850  ,825  ,800  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA TX1 WATTS  ,"LA,TX1W    ",4  ,29000  ,31000  ,33000  ,-10  ,-500  ,-1000  ,65504.0,WATTS  ,29,29,1,"""03012007""","""LA TX1 WATTS""",012,4,3,65504.0,1,1,33000  ,31000  ,29000  ,-10,-500  ,-1000  ,0.0,0.0,0.0,1.0,1.0,
LA TX1 POWER FACTOR  ,"LA,PF1M    ",4  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,30,30,1,"""03012008""","""LA TX1 POWER FACTOR""",012,4,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA TX1 FREQUENCY  ,"LA,TX1FRQ  ",4  ,  ,  ,  ,  ,  ,  ,204.7,HZ  ,31,31,1,"""03012009""","""LA TX1 FREQUENCY""",012,4,7,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA TX1 KVA METER  ,"LA,KVA1M   ",4  ,  ,  ,  ,  ,  ,  ,65504.0,KVA  ,32,32,1,"""03012010""","""LA TX1 KVA METER""",012,4,8,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA TX1 VARS LAG  ,"LA,MV1     ",4  ,4000  ,5000  ,5400  ,  ,  ,  ,65504.0,VARS  ,33,33,1,"""03012011""","""LA TX1 VARS LAG""",012,4,4,65504.0,1,1,5400  ,5000  ,4000  ,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA TX1 VARS LEAD  ,"LA,MV1-    ",4  ,4000  ,5000  ,5400  ,  ,  ,  ,65504.0,VARS  ,34,34,1,"""03012012""","""LA TX1 VARS LEAD""",012,4,4,65504.0,1,1,5400  ,5000  ,4000  ,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA DC VOLTS  ,"LA,DCV     ",4  ,137  ,138.5  ,143  ,128.5  ,126.5  ,-10  ,149.9836,VOLTS  ,35,35,1,"""03012013""","""LA DC VOLTS""",012,4,5,149.9836,1,1,143  ,138.5  ,137  ,128.5,126.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 1 A AMPS BKR TRIP  ,"LA,1A      ",4  ,380  ,430  ,480  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,36,36,1,"""03012014""","""LA BRK 1 A AMPS BKR TRIP""",012,4,1,600.0126,1,1,480  ,430  ,380  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 1 B AMPS BKR TRIP  ,"LA,1B      ",4  ,380  ,430  ,480  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,37,37,1,"""03012015""","""LA BRK 1 B AMPS BKR TRIP""",012,4,1,600.0126,1,1,480  ,430  ,380  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 1 C AMPS BKR TRIP  ,"LA,1C      ",4  ,380  ,430  ,480  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,38,38,1,"""03012016""","""LA BRK 1 C AMPS BKR TRIP""",012,4,1,600.0126,1,1,480  ,430  ,380  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 2 A AMPS BKR TRIP  ,"LA,2A      ",4  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,39,39,1,"""03012017""","""LA BRK 2 A AMPS BKR TRIP""",012,4,1,600.0126,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 2 B AMPS BKR TRIP  ,"LA,2B      ",4  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,40,40,1,"""03012018""","""LA BRK 2 B AMPS BKR TRIP""",012,4,1,600.0126,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 2 C AMPS BKR TRIP  ,"LA,2C      ",4  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,41,41,1,"""03012019""","""LA BRK 2 C AMPS BKR TRIP""",012,4,1,600.0126,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 3 A AMPS BKR TRIP  ,"LA,3A      ",4  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,42,42,1,"""03012020""","""LA BRK 3 A AMPS BKR TRIP""",012,4,1,600.0126,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 3 B AMPS BKR TRIP  ,"LA,3B      ",4  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,43,43,1,"""03012021""","""LA BRK 3 B AMPS BKR TRIP""",012,4,1,600.0126,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA BRK 3 C AMPS BKR TRIP  ,"LA,3C      ",4  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,44,44,1,"""03012022""","""LA BRK 3 C AMPS BKR TRIP""",012,4,1,600.0126,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LA LTC1 TAP POS  ,"LA,LTC1    ",4  ,15  ,16  ,16.5  ,-15  ,-16  ,-16.5  ,15.9666,TAP  ,45,45,1,"""03012023""","""LA LTC1 TAP POS""",012,4,9,15.9666,1,1,16.5  ,16  ,15  ,-15,-16  ,-16.5  ,0.0,0.0,0.0,1.0,1.0,
LAKE ASBURY CALI DEMAND  ,"LA,CALI    ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,46,46,2,"""04012001""","""LAKE ASBURY CALI DEMAND""",012,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA CUR DAY DEMAND  ,"LA,CDY     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,47,47,2,"""04012002""","""LA CUR DAY DEMAND""",012,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA CUR HOUR DEMAND  ,"LA,CHR     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,48,48,2,"""04012003""","""LA CUR HOUR DEMAND""",012,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA CUR MONTH DEMAND  ,"LA,CMT     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,49,49,2,"""04012004""","""LA CUR MONTH DEMAND""",012,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LAKE ASBURY MULTIPLIER  ,"LA,MUL     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,50,50,2,"""04012005""","""LAKE ASBURY MULTIPLIER""",012,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LAKE PULSE ACCUMULATOR 1  ,"LA,P1      ",4  ,  ,  ,  ,1  ,-2  ,-4  ,4.8,WATTS  ,51,51,1,"""03012024""","""LAKE PULSE ACCUMULATOR 1""",012,4,3,4.8,1,1,999999,999996,999995,1,-2  ,-4  ,0.0,0.0,0.0,1.0,1.0,
LA PREV DAY DEMAND  ,"LA,PDY     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,52,52,2,"""04012006""","""LA PREV DAY DEMAND""",012,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA POWER FACTOR AVG  ,"LA,PFAVG   ",4  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,53,53,2,"""04012007""","""LA POWER FACTOR AVG""",012,4,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA PREVIOUS H0UR DEMAND  ,"LA,PHR     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,54,54,2,"""04012008""","""LA PREVIOUS H0UR DEMAND""",012,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LA PREV MONTH DEMAND  ,"LA,PMT     ",4  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,55,55,2,"""04012009""","""LA PREV MONTH DEMAND""",012,4,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
