record,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,pDeviceInstance,pCtrlState,pScale,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
1.0,1.0,1.0,"""01016001""","""MOBIL TX HOT OIL TEMP""",016,4.0,209.0,0.0,1.0,"""""",1.0,"""""","""""","OP,MTXTOT  ",MOBIL TX HOT OIL TEMP  ,4  ,8.0,8  ,  ,  ,  ,0.0
2.0,2.0,1.0,"""01025001""","""PH DIFF RELAY DISABLE""",025,5.0,206.0,0.0,1.0,"""""",2.0,"""""","""""","PH,DRD     ",PH DIFF RELAY DISABLE  ,5  ,5.0,1  ,  ,  ,  ,0.0
3.0,3.0,1.0,"""01015001""","""BW 2100 CPORT 13 SPARE""",015,4.0,227.0,0.0,1.0,"""""",3.0,"""""","""""","BW,21CP13  ",BW 2100 CPORT 13 SPARE  ,4  ,26.0,3  ,  ,  ,  ,0.0
4.0,4.0,5.0,"""02055001""","""SB PSEUDO BREAKER""",055,1.0,216.0,0.0,1.0,"""""",4.0,"""""","""""","PS,S8W219  ",SB PSEUDO BREAKER  ,1  ,15.0,  ,  ,  ,  ,0.0
5.0,5.0,1.0,"""01025002""","""YARD BOX 2505 SELF CHECK""",025,5.0,227.0,0.0,1.0,"""""",5.0,"""""","""""","PH,25YBSC  ",YARD BOX 2505 SELF CHECK  ,5  ,26.0,1  ,  ,  ,  ,0.0
6.0,6.0,5.0,"""02011001""","""MI FAST SCAN""",011,3.0,226.0,0.0,1.0,"""""",6.0,"""""","""""","MI,FS      ",MI FAST SCAN  ,3  ,25.0,  ,  ,  ,  ,0.0
7.0,7.0,1.0,"""01011001""","""BKR 4 LOC/REM SW""",011,3.0,214.0,0.0,1.0,"""""",7.0,"""""","""""","MI,4LR     ",BKR 4 LOC/REM SW  ,3  ,13.0,0  ,  ,  ,  ,0.0
8.0,8.0,1.0,"""01025003""","""PH BKR 3 LOC/REM SW""",025,5.0,214.0,0.0,1.0,"""""",8.0,"""""","""""","PH,3LR     ",PH BKR 3 LOC/REM SW  ,5  ,13.0,0  ,  ,  ,  ,0.0
9.0,9.0,5.0,"""02022001""","""GREEN COVE FAST SCAN""",022,4.0,226.0,0.0,1.0,"""""",6.0,"""""","""""","GC,FS      ",GREEN COVE FAST SCAN  ,4  ,25.0,  ,  ,  ,  ,0.0
10.0,10.0,5.0,"""02007001""","""BC FAST SCAN""",007,4.0,226.0,0.0,1.0,"""""",6.0,"""""","""""","BC,FS      ",BC FAST SCAN  ,4  ,25.0,  ,  ,  ,  ,0.0
11.0,11.0,1.0,"""01051001""","""311C-2 CP21 (MBIT)""",051,3.0,227.0,0.0,1.0,"""""",9.0,"""""","""""","NR,35CP21  ",311C-2 CP21 (MBIT)  ,3  ,26.0,4  ,  ,  ,  ,0.0
12.0,12.0,1.0,"""01021001""","""BRK 2 BKR FAIL""",021,5.0,220.0,0.0,1.0,"""""",10.0,"""""","""""","WH,2BF     ",BRK 2 BKR FAIL  ,5  ,19.0,6  ,  ,  ,  ,0.0
13.0,13.0,1.0,"""01042001""","""TX TANK HIGH OIL""",042,7.0,211.0,0.0,1.0,"""""",11.0,"""""","""""","LY,TXHI    ",TX TANK HIGH OIL  ,7  ,10.0,4  ,  ,  ,  ,0.0
14.0,14.0,1.0,"""01042002""","""TX 2411 2032 CPORT 11""",042,7.0,227.0,0.0,1.0,"""""",12.0,"""""","""""","LY,32CP11  ",TX 2411 2032 CPORT 11  ,7  ,26.0,4  ,  ,  ,  ,0.0
15.0,15.0,1.0,"""01021002""","""DIFF RELAY DISABLE""",021,5.0,206.0,0.0,1.0,"""""",2.0,"""""","""""","WH,DRD     ",DIFF RELAY DISABLE  ,5  ,5.0,6  ,  ,  ,  ,0.0
16.0,16.0,2.0,"""01022001""","""GREEN COVE BKR 1""",022,4.0,202.0,0.0,1.0,"""""",13.0,"""""","""""","GC,1       ",GREEN COVE BKR 1  ,4  ,1.0,2  ,16  ,0  ,17  ,0.0
17.0,17.0,2.0,"""01022002""","""GREEN COVE BKR 1 RECL""",022,4.0,205.0,0.0,1.0,"""""",14.0,"""""","""""","GC,1R      ",GREEN COVE BKR 1 RECL  ,4  ,4.0,2  ,18  ,0  ,19  ,0.0
18.0,18.0,2.0,"""01022003""","""GC 1 GRND TRIP BLOCK""",022,4.0,222.0,0.0,1.0,"""""",15.0,"""""","""""","GC,1GT     ",GC 1 GRND TRIP BLOCK  ,4  ,21.0,2  ,20  ,0  ,21  ,0.0
19.0,19.0,1.0,"""01022004""","""GC BKR 1 2100 CPORT 1""",022,4.0,227.0,0.0,1.0,"""""",16.0,"""""","""""","GC,21CP1   ",GC BKR 1 2100 CPORT 1  ,4  ,26.0,2  ,  ,  ,  ,0.0
